"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.39235787","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.95837894","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mombasa","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.88245412","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.85068156","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.30092193","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.72163430","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.73856775","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.43592061","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.59245029","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.01413043","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.21800679","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.98706467","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.33778664","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.25028074","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.02993696","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.10384223","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.71607492","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.53079602","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.21435897","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.94534883","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
